"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","28-Feb-2017","        264.60","        263.00","        264.60","        260.90","        261.40","        262.20","        262.85","    8240790","          2166086550.50","      95489","    6518388","         79.10"
"ITC","EQ","01-Mar-2017","        262.20","        262.40","        269.70","        262.40","        268.10","        268.50","        265.95","   14578413","          3877082531.25","      97475","   11073312","         75.96"
"ITC","EQ","02-Mar-2017","        268.50","        268.50","        270.25","        263.50","        264.90","        264.75","        266.48","   10066049","          2682360735.70","     120157","    7157213","         71.10"
"ITC","EQ","03-Mar-2017","        264.75","        262.00","        263.40","        258.15","        262.50","        261.55","        260.56","    9987225","          2602263229.95","     118779","    7048272","         70.57"
"ITC","EQ","06-Mar-2017","        261.55","        262.70","        265.05","        261.55","        264.35","        264.10","        263.42","    9559221","          2518136390.75","      77586","    7452162","         77.96"
"ITC","EQ","07-Mar-2017","        264.10","        264.30","        265.00","        261.15","        264.35","        264.25","        263.54","    6917130","          1822964325.05","      59829","    4576229","         66.16"
"ITC","EQ","08-Mar-2017","        264.25","        264.45","        265.50","        263.50","        264.00","        264.15","        264.50","    5771334","          1526506672.55","      54615","    4239397","         73.46"
"ITC","EQ","09-Mar-2017","        264.15","        266.10","        266.30","        262.30","        265.00","        264.95","        264.45","    9481938","          2507496261.45","      65806","    6924260","         73.03"
"ITC","EQ","10-Mar-2017","        264.95","        264.95","        265.05","        262.65","        263.90","        263.45","        264.09","    5662302","          1495348162.40","      51495","    3756092","         66.34"
"ITC","EQ","14-Mar-2017","        263.45","        266.20","        271.65","        265.20","        266.35","        267.10","        268.52","   17821655","          4785418652.35","     165068","   13344494","         74.88"
"ITC","EQ","15-Mar-2017","        267.10","        265.20","        270.70","        265.20","        269.20","        268.20","        268.93","   13938663","          3748554651.80","     133690","   11145621","         79.96"
"ITC","EQ","16-Mar-2017","        268.20","        270.25","        271.25","        267.50","        268.85","        268.45","        268.64","    8685534","          2333257505.85","     118339","    6180856","         71.16"
"ITC","EQ","17-Mar-2017","        268.45","        276.80","        288.90","        276.80","        280.25","        281.25","        284.43","   52012274","         14794052690.70","     291766","   29002158","         55.76"
"ITC","EQ","20-Mar-2017","        281.25","        282.90","        284.20","        277.80","        284.00","        281.90","        280.05","   15897260","          4452068954.55","     115321","   12200771","         76.75"
"ITC","EQ","21-Mar-2017","        281.90","        283.20","        288.60","        283.00","        287.55","        287.90","        285.95","   13225065","          3781655997.40","     101326","    7578225","         57.30"
"ITC","EQ","22-Mar-2017","        287.90","        285.00","        287.85","        278.60","        279.40","        279.85","        283.56","   12397015","          3515333325.55","      77689","    9066333","         73.13"
"ITC","EQ","23-Mar-2017","        279.85","        277.50","        282.50","        275.10","        277.85","        277.60","        277.70","   16897153","          4692265991.75","      87103","   13355224","         79.04"
"ITC","EQ","24-Mar-2017","        277.60","        278.85","        283.00","        278.75","        280.60","        281.00","        281.33","    7123953","          2004150948.85","      70432","    4431701","         62.21"
"ITC","EQ","27-Mar-2017","        281.00","        280.45","        282.90","        276.30","        282.70","        281.60","        280.08","   12154973","          3404361276.30","      62906","    9351305","         76.93"
"ITC","EQ","28-Mar-2017","        281.60","        281.60","        282.20","        280.05","        280.50","        280.50","        280.92","    6289874","          1766940661.70","      50318","    4636399","         73.71"
"ITC","EQ","29-Mar-2017","        280.50","        280.20","        283.70","        280.20","        283.00","        283.20","        281.92","    8500724","          2396549556.60","      59526","    6579059","         77.39"
"ITC","EQ","30-Mar-2017","        283.20","        284.00","        284.65","        280.05","        281.50","        282.75","        282.65","   14394053","          4068484212.30","     102177","   10857069","         75.43"
"ITC","EQ","31-Mar-2017","        282.75","        281.00","        283.00","        278.75","        280.75","        280.30","        280.07","    9561098","          2677822245.80","      97864","    6909806","         72.27"
"ITC","EQ","03-Apr-2017","        280.30","        282.80","        283.60","        278.65","        282.40","        281.55","        281.00","    7228785","          2031276121.80","      49331","    4858726","         67.21"
"ITC","EQ","05-Apr-2017","        281.55","        283.20","        283.50","        277.70","        278.20","        278.95","        279.11","   10288783","          2871657782.50","     105889","    7720313","         75.04"
"ITC","EQ","06-Apr-2017","        278.95","        278.20","        279.15","        273.20","        274.00","        274.10","        274.82","   15641571","          4298674284.05","     101169","   12668402","         80.99"
"ITC","EQ","07-Apr-2017","        274.10","        273.00","        274.15","        270.90","        272.85","        272.65","        272.85","    9128592","          2490711961.05","     105482","    6909844","         75.69"
"ITC","EQ","10-Apr-2017","        272.65","        275.00","        275.00","        272.10","        273.00","        273.55","        273.35","    5476450","          1496977008.75","      66737","    4089387","         74.67"
"ITC","EQ","11-Apr-2017","        273.55","        273.10","        282.60","        271.80","        281.85","        282.05","        279.41","   10934606","          3055206759.15","     100682","    7562177","         69.16"
"ITC","EQ","12-Apr-2017","        282.05","        281.70","        284.80","        279.55","        281.60","        281.90","        281.97","    7229006","          2038341617.70","      87733","    4761852","         65.87"
"ITC","EQ","13-Apr-2017","        281.90","        281.90","        282.00","        277.50","        278.15","        279.15","        279.88","    3934247","          1101122069.50","      42179","    2601714","         66.13"
"ITC","EQ","17-Apr-2017","        279.15","        276.55","        282.50","        275.55","        279.25","        279.10","        279.65","    4831017","          1350987932.70","      52542","    2606078","         53.94"
"ITC","EQ","18-Apr-2017","        279.10","        280.20","        284.00","        278.10","        279.70","        279.05","        280.86","    4330981","          1216388968.35","      54617","    2388651","         55.15"
"ITC","EQ","19-Apr-2017","        279.05","        281.15","        281.50","        277.85","        279.70","        278.70","        279.03","    4952956","          1382038352.05","      99085","    3412896","         68.91"
"ITC","EQ","20-Apr-2017","        278.70","        279.70","        281.50","        278.35","        280.45","        279.50","        279.30","    4237611","          1183575205.60","      50138","    2792835","         65.91"
"ITC","EQ","21-Apr-2017","        279.50","        282.00","        282.00","        272.70","        275.15","        274.35","        275.77","    8706432","          2401007955.25","      73893","    6220258","         71.44"
"ITC","EQ","24-Apr-2017","        274.35","        276.40","        277.55","        271.15","        276.80","        276.75","        273.82","    7118774","          1949288881.65","      66327","    4354952","         61.18"
"ITC","EQ","25-Apr-2017","        276.75","        278.00","        282.00","        273.90","        281.60","        281.30","        278.89","   12721177","          3547867166.40","      78124","    9470162","         74.44"
"ITC","EQ","26-Apr-2017","        281.30","        283.30","        292.90","        282.00","        291.10","        290.90","        288.38","   18942043","          5462564840.50","     107826","   12105996","         63.91"
"ITC","EQ","27-Apr-2017","        290.90","        291.40","        291.90","        284.50","        285.35","        285.80","        287.33","   13553616","          3894414188.40","      96886","    8616524","         63.57"
"ITC","EQ","28-Apr-2017","        285.80","        285.80","        286.50","        277.35","        277.80","        278.00","        279.03","   12374841","          3452997795.75","     120143","    8789316","         71.03"
"ITC","EQ","02-May-2017","        278.00","        280.50","        281.30","        276.50","        278.85","        279.20","        278.78","    7028028","          1959292032.60","      92261","    5131365","         73.01"
"ITC","EQ","03-May-2017","        279.20","        279.50","        279.50","        275.50","        276.80","        277.25","        277.09","    6039290","          1673456767.60","      89547","    4154761","         68.80"
"ITC","EQ","04-May-2017","        277.25","        277.90","        282.20","        276.15","        280.80","        281.20","        278.90","    7771540","          2167455016.20","      79778","    5467805","         70.36"
"ITC","EQ","05-May-2017","        281.20","        280.95","        280.95","        276.40","        277.55","        277.15","        277.74","    4036786","          1121195156.90","      58306","    2301964","         57.02"
"ITC","EQ","08-May-2017","        277.15","        277.55","        278.50","        272.55","        273.30","        272.95","        274.44","   10629552","          2917139280.15","      82231","    7627211","         71.75"
"ITC","EQ","09-May-2017","        272.95","        273.50","        276.65","        271.00","        271.55","        271.50","        272.78","    6748832","          1840956990.20","      50830","    4317413","         63.97"
"ITC","EQ","10-May-2017","        271.50","        272.20","        275.70","        272.00","        274.50","        273.95","        274.30","    4578228","          1255790976.25","      43184","    2778370","         60.69"
"ITC","EQ","11-May-2017","        273.95","        275.50","        279.15","        274.00","        276.10","        276.65","        277.25","    9415397","          2610383901.15","      65854","    6256460","         66.45"
"ITC","EQ","12-May-2017","        276.65","        277.30","        277.30","        274.05","        275.90","        274.95","        275.04","    4499390","          1237507808.55","      52065","    2944022","         65.43"
"ITC","EQ","15-May-2017","        274.95","        275.90","        278.90","        275.50","        278.50","        277.95","        277.78","    5462855","          1517476657.80","      52501","    4128324","         75.57"
